country,year,variable,value
USA,1960,total_population,180671000.0
USA,1961,total_population,183691000.0
USA,1962,total_population,186538000.0
USA,1963,total_population,189242000.0
USA,1964,total_population,191889000.0
USA,1965,total_population,194303000.0
USA,1966,total_population,196560000.0
USA,1967,total_population,198712000.0
USA,1968,total_population,200706000.0
USA,1969,total_population,202677000.0
USA,1970,total_population,205052000.0
USA,1971,total_population,207661000.0
USA,1972,total_population,209896000.0
USA,1973,total_population,211909000.0
USA,1974,total_population,213854000.0
USA,1975,total_population,215973000.0
USA,1976,total_population,218035000.0
USA,1977,total_population,220239000.0
USA,1978,total_population,222585000.0
USA,1979,total_population,225055000.0
USA,1980,total_population,227225000.0
USA,1981,total_population,229466000.0
USA,1982,total_population,231664000.0
USA,1983,total_population,233792000.0
USA,1984,total_population,235825000.0
USA,1985,total_population,237924000.0
USA,1986,total_population,240133000.0
USA,1987,total_population,242289000.0
USA,1988,total_population,244499000.0
USA,1989,total_population,246819000.0
USA,1990,total_population,249623000.0
USA,1991,total_population,252981000.0
USA,1992,total_population,256514000.0
USA,1993,total_population,259919000.0
USA,1994,total_population,263126000.0
USA,1995,total_population,266278000.0
USA,1996,total_population,269394000.0
USA,1997,total_population,272657000.0
USA,1998,total_population,275854000.0
USA,1999,total_population,279040000.0
USA,2000,total_population,282162411.0
USA,2001,total_population,284968955.0
USA,2002,total_population,287625193.0
USA,2003,total_population,290107933.0
USA,2004,total_population,292805298.0
USA,2005,total_population,295516599.0
USA,2006,total_population,298379912.0
USA,2007,total_population,301231207.0
USA,2008,total_population,304093966.0
USA,2009,total_population,306771529.0
USA,2010,total_population,309378227.0
USA,2011,total_population,311839461.0
USA,2012,total_population,314339099.0
USA,2013,total_population,316726282.0
USA,2014,total_population,319257560.0
USA,2015,total_population,321815121.0
USA,2016,total_population,324353340.0
USA,2017,total_population,326608609.0
USA,2018,total_population,328529577.0
USA,2019,total_population,330226227.0
USA,2020,total_population,331577720.0
USA,2021,total_population,332099760.0
USA,2022,total_population,334017321.0
USA,2023,total_population,336806231.0
USA,2024,total_population,340110988.0
USA,1960,fertility_rate,3.654
USA,1961,fertility_rate,3.62
USA,1962,fertility_rate,3.461
USA,1963,fertility_rate,3.319
USA,1964,fertility_rate,3.19
USA,1965,fertility_rate,2.913
USA,1966,fertility_rate,2.721
USA,1967,fertility_rate,2.558
USA,1968,fertility_rate,2.464
USA,1969,fertility_rate,2.456
USA,1970,fertility_rate,2.48
USA,1971,fertility_rate,2.266
USA,1972,fertility_rate,2.01
USA,1973,fertility_rate,1.879
USA,1974,fertility_rate,1.835
USA,1975,fertility_rate,1.774
USA,1976,fertility_rate,1.738
USA,1977,fertility_rate,1.79
USA,1978,fertility_rate,1.76
USA,1979,fertility_rate,1.808
USA,1980,fertility_rate,1.8395
USA,1981,fertility_rate,1.812
USA,1982,fertility_rate,1.8275
USA,1983,fertility_rate,1.799
USA,1984,fertility_rate,1.8065
USA,1985,fertility_rate,1.844
USA,1986,fertility_rate,1.8375
USA,1987,fertility_rate,1.872
USA,1988,fertility_rate,1.934
USA,1989,fertility_rate,2.014
USA,1990,fertility_rate,2.081
USA,1991,fertility_rate,2.0625
USA,1992,fertility_rate,2.046
USA,1993,fertility_rate,2.0195
USA,1994,fertility_rate,2.0015
USA,1995,fertility_rate,1.978
USA,1996,fertility_rate,1.976
USA,1997,fertility_rate,1.971
USA,1998,fertility_rate,1.999
USA,1999,fertility_rate,2.0075
USA,2000,fertility_rate,2.056
USA,2001,fertility_rate,2.0305
USA,2002,fertility_rate,2.0205
USA,2003,fertility_rate,2.0475
USA,2004,fertility_rate,2.0515
USA,2005,fertility_rate,2.057
USA,2006,fertility_rate,2.108
USA,2007,fertility_rate,2.12
USA,2008,fertility_rate,2.072
USA,2009,fertility_rate,2.002
USA,2010,fertility_rate,1.931
USA,2011,fertility_rate,1.8945
USA,2012,fertility_rate,1.8805
USA,2013,fertility_rate,1.8575
USA,2014,fertility_rate,1.8625
USA,2015,fertility_rate,1.8435
USA,2016,fertility_rate,1.8205
USA,2017,fertility_rate,1.7655
USA,2018,fertility_rate,1.7295
USA,2019,fertility_rate,1.706
USA,2020,fertility_rate,1.6415
USA,2021,fertility_rate,1.664
USA,2022,fertility_rate,1.6565
USA,2023,fertility_rate,1.6165
USA,1960,gdp_capita_const,18853.7217509669
USA,1961,gdp_capita_const,19019.4652460385
USA,1962,gdp_capita_const,19877.215292714
USA,1963,gdp_capita_const,20446.9297323947
USA,1964,gdp_capita_const,21326.9266882957
USA,1965,gdp_capita_const,22430.6652310647
USA,1966,gdp_capita_const,23635.4971627863
USA,1967,gdp_capita_const,24020.7533179974
USA,1968,gdp_capita_const,24950.882784753
USA,1969,gdp_capita_const,25479.7488035953
USA,1970,gdp_capita_const,25231.1271568518
USA,1971,gdp_capita_const,25734.4828326397
USA,1972,gdp_capita_const,26798.5336088951
USA,1973,gdp_capita_const,28042.5519161983
USA,1974,gdp_capita_const,27637.2997739418
USA,1975,gdp_capita_const,27309.8688161152
USA,1976,gdp_capita_const,28509.143056991
USA,1977,gdp_capita_const,29528.9663680223
USA,1978,gdp_capita_const,30834.99923167
USA,1979,gdp_capita_const,31462.1003883959
USA,1980,gdp_capita_const,31081.62163338
USA,1981,gdp_capita_const,31559.1293373937
USA,1982,gdp_capita_const,30696.0834358718
USA,1983,gdp_capita_const,31810.9216083487
USA,1984,gdp_capita_const,33818.8235524677
USA,1985,gdp_capita_const,34918.1302027193
USA,1986,gdp_capita_const,35794.8877745985
USA,1987,gdp_capita_const,36701.9453883904
USA,1988,gdp_capita_const,37889.3773472194
USA,1989,gdp_capita_const,38911.5418949927
USA,1990,gdp_capita_const,39200.0658103964
USA,1991,gdp_capita_const,38637.8398159491
USA,1992,gdp_capita_const,39447.9472847522
USA,1993,gdp_capita_const,40002.4762262205
USA,1994,gdp_capita_const,41106.9881841375
USA,1995,gdp_capita_const,41710.8207239918
USA,1996,gdp_capita_const,42783.8165710653
USA,1997,gdp_capita_const,44151.6860411494
USA,1998,gdp_capita_const,45596.4306860229
USA,1999,gdp_capita_const,47234.2455275781
USA,2000,gdp_capita_const,48616.2546267835
USA,2001,gdp_capita_const,48597.4246130164
USA,2002,gdp_capita_const,48967.3661209521
USA,2003,gdp_capita_const,49905.5233079503
USA,2004,gdp_capita_const,51348.3473392466
USA,2005,gdp_capita_const,52649.5713058632
USA,2006,gdp_capita_const,53596.3152369749
USA,2007,gdp_capita_const,54152.8292653448
USA,2008,gdp_capita_const,53703.9628962873
USA,2009,gdp_capita_const,51863.6183424227
USA,2010,gdp_capita_const,52812.682985453
USA,2011,gdp_capita_const,53215.5362316915
USA,2012,gdp_capita_const,54000.8410760833
USA,2013,gdp_capita_const,54728.8601798884
USA,2014,gdp_capita_const,55665.2411167663
USA,2015,gdp_capita_const,56849.4697923159
USA,2016,gdp_capita_const,57430.8499282527
USA,2017,gdp_capita_const,58435.9707521832
USA,2018,gdp_capita_const,59817.6556796969
USA,2019,gdp_capita_const,61047.9648235152
USA,2020,gdp_capita_const,59484.0335530935
USA,2021,gdp_capita_const,62986.6563127547
USA,2022,gdp_capita_const,64198.4324880296
USA,2023,gdp_capita_const,65505.2557007675
USA,2024,gdp_capita_const,66682.6147044553
USA,1991,emp_to_pop,60.58
USA,1992,emp_to_pop,60.358
USA,1993,emp_to_pop,60.64
USA,1994,emp_to_pop,61.469
USA,1995,emp_to_pop,61.897
USA,1996,emp_to_pop,62.189
USA,1997,emp_to_pop,62.78
USA,1998,emp_to_pop,63.033
USA,1999,emp_to_pop,63.27
USA,2000,emp_to_pop,63.506
USA,2001,emp_to_pop,62.746
USA,2002,emp_to_pop,61.793
USA,2003,emp_to_pop,61.314
USA,2004,emp_to_pop,61.407
USA,2005,emp_to_pop,61.742
USA,2006,emp_to_pop,62.162
USA,2007,emp_to_pop,61.99
USA,2008,emp_to_pop,61.226
USA,2009,emp_to_pop,58.412
USA,2010,emp_to_pop,57.592
USA,2011,emp_to_pop,57.574
USA,2012,emp_to_pop,58.017
USA,2013,emp_to_pop,58.108
