country,year,emp_to_pop,fertility_rate,flfpr,gdp_capita_const,gini_index,net_migration,total_population
AUS,1960,,3.453,,19905.3134669222,,85707.0,10276477.0
AUS,1961,,3.54,,19997.5450015954,,64495.0,10483000.0
AUS,1962,,3.442,,19767.9570765171,,58315.0,10742000.0
AUS,1963,,3.332,,20597.9260588196,,73237.0,10950000.0
AUS,1964,,3.146,,21607.4922239031,,91588.0,11167000.0
AUS,1965,,2.977,,22455.2509839049,,118891.0,11388000.0
AUS,1966,,2.881,,22470.5176072033,,110864.0,11651000.0
AUS,1967,,2.848,,23587.6281171848,,80904.0,11799000.0
AUS,1968,,2.888,,24355.6282531611,,100963.0,12009000.0
AUS,1969,,2.886,,25531.5365288498,,108770.0,12263000.0
AUS,1970,,2.859,,26829.7630995603,,256295.0,12507000.0
AUS,1971,,2.961,,26975.665521972,,223991.0,12937000.0
AUS,1972,,2.744,,27520.0005055853,,54895.0,13177000.0
AUS,1973,,2.491,,27812.4455074509,,62928.0,13380000.0
AUS,1974,,2.397,,28231.0239084901,,56167.0,13723000.0
AUS,1975,,2.148,,28258.0654813537,,25336.0,13893000.0
AUS,1976,,2.06,,28700.2946314702,,32792.0,14033000.0
AUS,1977,,2.007,,29399.0024788699,,44946.0,14192000.0
AUS,1978,,1.949,,29318.7463550853,,45832.0,14358000.0
AUS,1979,,1.907,,30178.3894488631,,52137.0,14514000.0
AUS,1980,,1.891,,30717.7780327511,,89189.0,14692000.0
AUS,1981,,1.935,,31251.8203349363,31.3,121921.0,14923260.0
AUS,1982,,1.929,,31736.0447520616,,111722.0,15184247.0
AUS,1983,,1.924,,30608.3684024318,,73251.0,15393472.0
AUS,1984,,1.84,,31632.3892749783,,79617.0,15579391.0
AUS,1985,,1.923,,32861.4162378766,32.5,98327.0,15788312.0
AUS,1986,,1.868,,33674.1705521479,,113061.0,16018350.0
AUS,1987,,1.845,,34014.7354121968,,136421.0,16263874.0
AUS,1988,,1.831,,35389.4553320904,,153330.0,16532164.0
AUS,1989,,1.838,,36143.1477787181,33.2,144042.0,16814416.0
AUS,1990,,1.902,52.307,36886.1444273767,,100093.0,17065128.0
