country,year,variable,value
AUS,1991,emp_to_pop,57.218
AUS,1992,emp_to_pop,56.24
AUS,1993,emp_to_pop,55.787
AUS,1994,emp_to_pop,56.943
AUS,1995,emp_to_pop,58.283
AUS,1996,emp_to_pop,58.233
AUS,1997,emp_to_pop,57.967
AUS,1998,emp_to_pop,58.281
AUS,1999,emp_to_pop,58.582
AUS,2000,emp_to_pop,59.303
AUS,2001,emp_to_pop,59.164
AUS,2002,emp_to_pop,59.459
AUS,2003,emp_to_pop,59.935
AUS,2004,emp_to_pop,60.144
AUS,2005,emp_to_pop,61.26
AUS,2006,emp_to_pop,61.747
AUS,2007,emp_to_pop,62.415
AUS,2008,emp_to_pop,62.783
AUS,2009,emp_to_pop,61.856
AUS,2010,emp_to_pop,62.066
AUS,2011,emp_to_pop,62.184
AUS,2012,emp_to_pop,61.836
AUS,2013,emp_to_pop,61.343
AUS,2014,emp_to_pop,60.849
AUS,2015,emp_to_pop,61.135
AUS,2016,emp_to_pop,61.242
AUS,2017,emp_to_pop,61.599
AUS,2018,emp_to_pop,62.232
AUS,2019,emp_to_pop,62.607
AUS,2020,emp_to_pop,60.901
AUS,2021,emp_to_pop,62.591
AUS,2022,emp_to_pop,64.216
AUS,2023,emp_to_pop,64.334
AUS,1960,fertility_rate,3.453
AUS,1961,fertility_rate,3.54
AUS,1962,fertility_rate,3.442
AUS,1963,fertility_rate,3.332
AUS,1964,fertility_rate,3.146
AUS,1965,fertility_rate,2.977
AUS,1966,fertility_rate,2.881
AUS,1967,fertility_rate,2.848
AUS,1968,fertility_rate,2.888
AUS,1969,fertility_rate,2.886
AUS,1970,fertility_rate,2.859
AUS,1971,fertility_rate,2.961
AUS,1972,fertility_rate,2.744
AUS,1973,fertility_rate,2.491
AUS,1974,fertility_rate,2.397
AUS,1975,fertility_rate,2.148
AUS,1976,fertility_rate,2.06
AUS,1977,fertility_rate,2.007
AUS,1978,fertility_rate,1.949
AUS,1979,fertility_rate,1.907
AUS,1980,fertility_rate,1.891
AUS,1981,fertility_rate,1.935
AUS,1982,fertility_rate,1.929
AUS,1983,fertility_rate,1.924
AUS,1984,fertility_rate,1.84
AUS,1985,fertility_rate,1.923
AUS,1986,fertility_rate,1.868
AUS,1987,fertility_rate,1.845
AUS,1988,fertility_rate,1.831
AUS,1989,fertility_rate,1.838
AUS,1990,fertility_rate,1.902
AUS,1991,fertility_rate,1.849
AUS,1992,fertility_rate,1.888
AUS,1993,fertility_rate,1.859
AUS,1994,fertility_rate,1.842
AUS,1995,fertility_rate,1.822
AUS,1996,fertility_rate,1.796
AUS,1997,fertility_rate,1.778
AUS,1998,fertility_rate,1.762
AUS,1999,fertility_rate,1.755
AUS,2000,fertility_rate,1.756
AUS,2001,fertility_rate,1.739
AUS,2002,fertility_rate,1.756
AUS,2003,fertility_rate,1.748
AUS,2004,fertility_rate,1.768
AUS,2005,fertility_rate,1.807
AUS,2006,fertility_rate,1.908
AUS,2007,fertility_rate,1.959
AUS,2008,fertility_rate,1.984
AUS,2009,fertility_rate,1.971
AUS,2010,fertility_rate,1.928
AUS,2011,fertility_rate,1.926
AUS,2012,fertility_rate,1.92
AUS,2013,fertility_rate,1.855
AUS,2014,fertility_rate,1.826
AUS,2015,fertility_rate,1.814
AUS,2016,fertility_rate,1.752
AUS,2017,fertility_rate,1.741
AUS,2018,fertility_rate,1.74
AUS,2019,fertility_rate,1.657
AUS,2020,fertility_rate,1.581
AUS,2021,fertility_rate,1.7
AUS,2022,fertility_rate,1.63
AUS,2023,fertility_rate,1.5
AUS,1990,flfpr,52.307
AUS,1991,flfpr,52.038
AUS,1992,flfpr,51.996
AUS,1993,flfpr,51.77
AUS,1994,flfpr,52.67
AUS,1995,flfpr,53.675
AUS,1996,flfpr,53.859
AUS,1997,flfpr,53.66
AUS,1998,flfpr,53.721
AUS,1999,flfpr,53.727
AUS,2000,flfpr,54.618
AUS,2001,flfpr,55.158
